"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-12-27 12:18:58 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2008,Afghanistan,Afghanistan,"Internally displaced persons",230670
2008,Australia,Afghanistan,Asylum-seekers,28
2008,Australia,Afghanistan,"Refugees (incl. refugee-like situations)",4933
2008,Austria,Afghanistan,Asylum-seekers,2016
2008,Austria,Afghanistan,"Refugees (incl. refugee-like situations)",5387
2008,Azerbaijan,Afghanistan,Asylum-seekers,24
2008,Azerbaijan,Afghanistan,"Refugees (incl. refugee-like situations)",125
2008,Belgium,Afghanistan,"Refugees (incl. refugee-like situations)",196
2008,Bulgaria,Afghanistan,Asylum-seekers,377
2008,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",2012
2008,Belarus,Afghanistan,Asylum-seekers,29
2008,Belarus,Afghanistan,"Refugees (incl. refugee-like situations)",436
2008,Brazil,Afghanistan,"Refugees (incl. refugee-like situations)",3
2008,Canada,Afghanistan,Asylum-seekers,613
2008,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",3147
2008,Switzerland,Afghanistan,Asylum-seekers,582
2008,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",1610
2008,Chile,Afghanistan,"Refugees (incl. refugee-like situations)",16
2008,"Côte d'Ivoire",Afghanistan,"Refugees (incl. refugee-like situations)",16
2008,"Costa Rica",Afghanistan,"Refugees (incl. refugee-like situations)",2
2008,Cyprus,Afghanistan,Asylum-seekers,75
2008,Cyprus,Afghanistan,"Refugees (incl. refugee-like situations)",6
2008,"Czech Rep.",Afghanistan,Asylum-seekers,20
2008,"Czech Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",226
2008,Germany,Afghanistan,Asylum-seekers,1729
2008,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",25108
2008,Denmark,Afghanistan,Asylum-seekers,82
2008,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",5214
2008,Ecuador,Afghanistan,Asylum-seekers,29
2008,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",79
2008,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",28
2008,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",69
2008,Estonia,Afghanistan,"Refugees (incl. refugee-like situations)",6
2008,Ethiopia,Afghanistan,"Refugees (incl. refugee-like situations)",1
2008,Finland,Afghanistan,Asylum-seekers,213
2008,Finland,Afghanistan,"Refugees (incl. refugee-like situations)",578
2008,France,Afghanistan,"Refugees (incl. refugee-like situations)",1345
2008,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",23079
2008,Georgia,Afghanistan,"Refugees (incl. refugee-like situations)",4
2008,Greece,Afghanistan,Asylum-seekers,1522
2008,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",178
2008,"China, Hong Kong SAR",Afghanistan,Asylum-seekers,6
2008,Croatia,Afghanistan,Asylum-seekers,1
2008,Croatia,Afghanistan,"Refugees (incl. refugee-like situations)",1
2008,Hungary,Afghanistan,Asylum-seekers,54
2008,Hungary,Afghanistan,"Refugees (incl. refugee-like situations)",2110
2008,Indonesia,Afghanistan,Asylum-seekers,136
