"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-12-27 20:51:18 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
1979,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",100000
1979,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",400000
1980,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",1500
1980,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",300000
1980,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",191
1980,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1428230
1980,Turkey,Afghanistan,"Refugees (incl. refugee-like situations)",5000
1981,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",1500
1981,India,Afghanistan,"Refugees (incl. refugee-like situations)",2690
1981,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1500000
1981,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",464
1981,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",2375330
1982,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",1500
1982,India,Afghanistan,"Refugees (incl. refugee-like situations)",3430
1982,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1600000
1982,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",484
1982,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",2877480
1982,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",2000
1982,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",3000
1982,Turkey,Afghanistan,"Refugees (incl. refugee-like situations)",320
1983,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",1500
1983,India,Afghanistan,"Refugees (incl. refugee-like situations)",5300
1983,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1800000
1983,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",545
1983,Jordan,Afghanistan,"Refugees (incl. refugee-like situations)",50
1983,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",2900000
1983,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",2000
1983,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",3000
1983,Turkey,Afghanistan,"Refugees (incl. refugee-like situations)",340
1984,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",2500
1984,India,Afghanistan,"Refugees (incl. refugee-like situations)",5850
1984,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1900000
1984,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",551
1984,Jordan,Afghanistan,"Refugees (incl. refugee-like situations)",150
1984,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",400
1984,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",2500000
1984,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",5000
1984,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",3200
1985,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",3200
1985,Bahrain,Afghanistan,"Refugees (incl. refugee-like situations)",250
1985,India,Afghanistan,"Refugees (incl. refugee-like situations)",5690
1985,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1900000
1985,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",553
1985,Jordan,Afghanistan,"Refugees (incl. refugee-like situations)",150
1985,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",400
1985,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",2729910
1985,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",9000
1985,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",4040
1986,India,Afghanistan,"Refugees (incl. refugee-like situations)",5530
1986,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",2190000
1986,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",553
1986,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",100
1986,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",2878100
1986,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",20000
1987,India,Afghanistan,"Refugees (incl. refugee-like situations)",5180
1987,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",2350000
1987,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",560
1987,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",3156000
1988,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",241
1988,India,Afghanistan,"Refugees (incl. refugee-like situations)",4891
1988,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",2350000
1988,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",554
1988,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",50
1988,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",3254393
1988,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",12853
1989,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",162
1989,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",233
1989,India,Afghanistan,"Refugees (incl. refugee-like situations)",8451
1989,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",2350000
1989,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",557
1989,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",50
1989,Nepal,Afghanistan,"Refugees (incl. refugee-like situations)",50
1989,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",3272290
1989,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",12196
1990,China,Afghanistan,"Refugees (incl. refugee-like situations)",50
1990,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",192
1990,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",237
1990,India,Afghanistan,"Refugees (incl. refugee-like situations)",11946
1990,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",3061110
1990,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",394
1990,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",300
1990,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",3253000
1990,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",378
1990,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",11488
1991,China,Afghanistan,"Refugees (incl. refugee-like situations)",180
1991,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",235
1991,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",21
1991,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",192
1991,India,Afghanistan,"Refugees (incl. refugee-like situations)",9766
1991,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",3186616
1991,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",121
1991,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",100
1991,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",3098000
1991,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",170
1991,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",512
1991,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",10388
1992,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",260
1992,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",20
1992,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",156
1992,India,Afghanistan,"Refugees (incl. refugee-like situations)",11002
1992,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",2900666
1992,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",107
1992,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",90
1992,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",610
1992,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1627000
1992,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",556
1992,Tajikistan,Afghanistan,"Refugees (incl. refugee-like situations)",3000
1992,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",8686
1993,Afghanistan,Afghanistan,"Internally displaced persons",15000
1993,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",208
1993,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",447
1993,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",404
1993,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",2
1993,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",30
1993,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",74
1993,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",130
1993,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",13
1993,Hungary,Afghanistan,"Refugees (incl. refugee-like situations)",15
1993,India,Afghanistan,"Refugees (incl. refugee-like situations)",24421
1993,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1850000
1993,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",46
1993,Kazakhstan,Afghanistan,"Refugees (incl. refugee-like situations)",2000
1993,Kyrgyzstan,Afghanistan,"Refugees (incl. refugee-like situations)",1200
1993,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",550
1993,Malaysia,Afghanistan,"Refugees (incl. refugee-like situations)",6
1993,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",1003
1993,Nepal,Afghanistan,"Refugees (incl. refugee-like situations)",3
1993,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1476876
1993,Singapore,Afghanistan,"Refugees (incl. refugee-like situations)",1
1993,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",682
1993,Thailand,Afghanistan,"Refugees (incl. refugee-like situations)",32
1993,Tajikistan,Afghanistan,"Refugees (incl. refugee-like situations)",300
1993,Turkmenistan,Afghanistan,"Refugees (incl. refugee-like situations)",400
1993,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",7728
1993,Uzbekistan,Afghanistan,"Refugees (incl. refugee-like situations)",8000
1993,Zimbabwe,Afghanistan,"Refugees (incl. refugee-like situations)",5
1994,Afghanistan,Afghanistan,"Internally displaced persons",332200
1994,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",382
1994,Belarus,Afghanistan,"Refugees (incl. refugee-like situations)",1607
1994,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",4399
1994,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",474
1994,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",547
1994,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",7
1994,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",30
1994,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",70
1994,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",110
1994,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",13
1994,Hungary,Afghanistan,"Refugees (incl. refugee-like situations)",30
1994,India,Afghanistan,"Refugees (incl. refugee-like situations)",22362
1994,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1623331
1994,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",48
1994,Jordan,Afghanistan,"Refugees (incl. refugee-like situations)",1
1994,Kazakhstan,Afghanistan,"Refugees (incl. refugee-like situations)",2000
1994,Kyrgyzstan,Afghanistan,"Refugees (incl. refugee-like situations)",1200
1994,Cambodia,Afghanistan,"Refugees (incl. refugee-like situations)",7
1994,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",10
1994,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",550
1994,"Sri Lanka",Afghanistan,"Refugees (incl. refugee-like situations)",6
1994,Malaysia,Afghanistan,"Refugees (incl. refugee-like situations)",12
1994,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",2050
1994,Nepal,Afghanistan,"Refugees (incl. refugee-like situations)",1
1994,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1053000
1994,Singapore,Afghanistan,"Refugees (incl. refugee-like situations)",1
1994,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"Refugees (incl. refugee-like situations)",11
1994,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",841
1994,Thailand,Afghanistan,"Refugees (incl. refugee-like situations)",25
1994,Tajikistan,Afghanistan,"Refugees (incl. refugee-like situations)",695
1994,Turkmenistan,Afghanistan,"Refugees (incl. refugee-like situations)",400
1994,Ukraine,Afghanistan,"Refugees (incl. refugee-like situations)",2770
1994,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",6169
1994,Uzbekistan,Afghanistan,"Refugees (incl. refugee-like situations)",8000
1994,Zimbabwe,Afghanistan,"Refugees (incl. refugee-like situations)",10
1995,Afghanistan,Afghanistan,"Internally displaced persons",159600
1995,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",475
1995,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",4575
1995,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",455
1995,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",748
1995,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",8
1995,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",23
1995,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",69
1995,France,Afghanistan,"Refugees (incl. refugee-like situations)",1294
1995,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",820
1995,India,Afghanistan,"Refugees (incl. refugee-like situations)",19916
1995,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1429038
1995,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",52
1995,Kazakhstan,Afghanistan,"Refugees (incl. refugee-like situations)",3500
1995,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",22
1995,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",550
1995,"Sri Lanka",Afghanistan,"Refugees (incl. refugee-like situations)",7
1995,Malaysia,Afghanistan,"Refugees (incl. refugee-like situations)",24
1995,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",3644
1995,Nepal,Afghanistan,"Refugees (incl. refugee-like situations)",2
1995,"New Zealand",Afghanistan,"Refugees (incl. refugee-like situations)",4
1995,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1200000
1995,Philippines,Afghanistan,"Refugees (incl. refugee-like situations)",5
1995,Romania,Afghanistan,"Refugees (incl. refugee-like situations)",10
1995,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",149
1995,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"Refugees (incl. refugee-like situations)",11
