date,part,company,country,city,price,date,Price_euro,id
2016-01-02 00:01:05,54868-5165,Chatterbridge,Spain,Barcelona,784.79€,2016-01-02 00:01:05,784.79,0
2016-01-02 00:05:26,60505-2867,Lajo,Greece,Thessaloniki,187.99€,2016-01-02 00:05:26,187.99,1
2016-01-02 00:18:30,24385-268,Flipstorm,Greece,Athens,221.73€,2016-01-02 00:18:30,221.73,2
2016-01-02 02:32:30,76117-001,Twitterbeat,France,Annecy,1075.82€,2016-01-02 02:32:30,1075.82,3
2016-01-02 04:51:55,44946-1046,Chatterbridge,Spain,Barcelona,412.55€,2016-01-02 04:51:55,412.55,4
2016-01-02 07:20:59,16729-167,Chatterbridge,Spain,Barcelona,359.52€,2016-01-02 07:20:59,359.52,5
2016-01-02 07:40:37,52125-444,Voomm,France,Paris,266.62€,2016-01-02 07:40:37,266.62,6
2016-01-02 08:57:57,43419-018,Buzzbean,Germany,Düsseldorf,103.45€,2016-01-02 08:57:57,103.45,7
2016-01-02 11:01:32,24286-1562,Lajo,Greece,Thessaloniki,317.65€,2016-01-02 11:01:32,317.65,8
2016-01-02 12:51:30,49035-530,Flipstorm,Greece,Athens,841.97€,2016-01-02 12:51:30,841.97,9
2016-01-02 13:16:45,36987-1697,Brainsphere,Portugal,Braga,830.75€,2016-01-02 13:16:45,830.75,10
2016-01-02 16:34:14,44946-1046,Flipstorm,France,Nanterre,406.4€,2016-01-02 16:34:14,406.4,11
2016-01-02 17:45:54,51346-145,Flipstorm,Greece,Athens,978.51€,2016-01-02 17:45:54,978.51,12
2016-01-02 17:46:50,51138-049,Flipstorm,France,Nanterre,504.69€,2016-01-02 17:46:50,504.69,13
2016-01-02 18:52:45,0268-6107,Thoughtmix,Portugal,Amadora,477.71€,2016-01-02 18:52:45,477.71,14
2016-01-02 20:28:56,51523-002,Flipstorm,Greece,Athens,1041.56€,2016-01-02 20:28:56,1041.56,15
2016-01-02 22:18:14,49288-0285,Brainsphere,Portugal,Braga,598.52€,2016-01-02 22:18:14,598.52,16
2016-01-03 00:19:44,68233-011,Chatterbridge,Spain,Barcelona,304.59€,2016-01-03 00:19:44,304.59,17
2016-01-03 00:40:03,49349-471,Voomm,France,Paris,842.93€,2016-01-03 00:40:03,842.93,18
2016-01-03 02:33:24,55700-014,Flipstorm,Greece,Athens,687.46€,2016-01-03 02:33:24,687.46,19
2016-01-03 06:16:54,98132-889,Buzzbean,Germany,Düsseldorf,272.06€,2016-01-03 06:16:54,272.06,20
2016-01-03 07:35:36,17156-617,Flipstorm,Greece,Athens,1148.38€,2016-01-03 07:35:36,1148.38,21
2016-01-03 08:58:12,49348-574,Flipstorm,Greece,Athens,367.48€,2016-01-03 08:58:12,367.48,22
2016-01-03 09:35:27,76454-100,Teklist,Netherlands,Arnhem,166.29€,2016-01-03 09:35:27,166.29,23
2016-01-03 10:48:11,76117-001,Thoughtmix,Portugal,Amadora,1146.85€,2016-01-03 10:48:11,1146.85,24
2016-01-03 10:48:12,54868-5165,Teklist,Netherlands,Arnhem,980.37€,2016-01-03 10:48:12,980.37,25
2016-01-03 11:41:15,67544-356,Flipstorm,France,Nanterre,680.67€,2016-01-03 11:41:15,680.67,26
2016-01-03 11:53:31,70253-307,Avaveo,France,Nice,1029.92€,2016-01-03 11:53:31,1029.92,27
2016-01-03 13:12:09,62756-707,Ntags,Portugal,Lisbon,322.45€,2016-01-03 13:12:09,322.45,28
2016-01-03 13:48:28,0268-1604,Innojam,Netherlands,Amsterdam,157.22€,2016-01-03 13:48:28,157.22,29
2016-01-03 16:16:24,41163-428,Thoughtmix,Portugal,Amadora,120.64€,2016-01-03 16:16:24,120.64,30
2016-01-03 17:55:17,62011-0219,Flipstorm,Greece,Athens,759.9€,2016-01-03 17:55:17,759.9,31
2016-01-03 19:48:44,54868-0823,Thoughtmix,Portugal,Amadora,163.6€,2016-01-03 19:48:44,163.6,32
2016-01-03 20:19:49,68462-565,Flipstorm,France,Nanterre,857.94€,2016-01-03 20:19:49,857.94,33
2016-01-03 22:11:05,61398-0828,Flipstorm,Greece,Athens,508.48€,2016-01-03 22:11:05,508.48,34
2016-01-03 22:12:57,52343-025,Shufflebeat,Portugal,Porto,843.78€,2016-01-03 22:12:57,843.78,35
2016-01-03 23:41:02,37205-992,Shufflebeat,Portugal,Porto,552.41€,2016-01-03 23:41:02,552.41,36
2016-01-04 00:04:00,51079-947,Flipstorm,France,Nanterre,620.92€,2016-01-04 00:04:00,620.92,37
2016-01-04 00:32:01,49349-471,Flipstorm,Greece,Athens,766.23€,2016-01-04 00:32:01,766.23,38
2016-01-04 01:07:00,16714-295,Brainsphere,Portugal,Braga,712.31€,2016-01-04 01:07:00,712.31,39
2016-01-04 01:15:56,54868-0823,Flipstorm,Greece,Athens,183.81€,2016-01-04 01:15:56,183.81,40
2016-01-04 01:46:04,16729-167,Voomm,France,Paris,458.77€,2016-01-04 01:46:04,458.77,41
2016-01-04 04:39:44,68462-565,Shufflebeat,Portugal,Porto,778.08€,2016-01-04 04:39:44,778.08,42
2016-01-04 05:19:44,49349-842,Ntags,Portugal,Lisbon,269.46€,2016-01-04 05:19:44,269.46,43
2016-01-04 07:01:09,54123-957,Buzzbean,Germany,Düsseldorf,161.02€,2016-01-04 07:01:09,161.02,44
2016-01-04 07:23:21,58118-5060,Flipstorm,Greece,Athens,387.3€,2016-01-04 07:23:21,387.3,45
2016-01-04 07:32:15,51523-002,Flipstorm,Greece,Athens,1184.21€,2016-01-04 07:32:15,1184.21,46
2016-01-04 08:46:27,51079-947,Thoughtmix,Portugal,Amadora,600.24€,2016-01-04 08:46:27,600.24,47
2016-01-04 12:07:11,58118-5060,Buzzbean,Germany,Düsseldorf,195.09€,2016-01-04 12:07:11,195.09,48
2016-01-04 12:16:34,16590-177,Twitterbeat,France,Annecy,1075.56€,2016-01-04 12:16:34,1075.56,49
2016-01-04 14:13:33,49288-0655,Flipstorm,Greece,Athens,169.33€,2016-01-04 14:13:33,169.33,50
2016-01-04 14:48:27,67046-030,Flipstorm,Greece,Athens,162.2€,2016-01-04 14:48:27,162.2,51
2016-01-04 15:05:37,16477-306,Twitterbeat,France,Annecy,996.3€,2016-01-04 15:05:37,996.3,52
2016-01-04 15:08:34,0615-7679,Chatterbridge,Spain,Barcelona,385.43€,2016-01-04 15:08:34,385.43,53
2016-01-04 15:54:50,49348-574,Flipstorm,Greece,Athens,295.47€,2016-01-04 15:54:50,295.47,54
2016-01-04 16:19:30,52380-1102,Flipstorm,France,Nanterre,716.43€,2016-01-04 16:19:30,716.43,55
2016-01-04 16:42:33,98132-889,Brainsphere,Portugal,Braga,236.03€,2016-01-04 16:42:33,236.03,56
2016-01-04 18:09:44,51346-126,Flipstorm,Greece,Athens,111.55€,2016-01-04 18:09:44,111.55,57
2016-01-04 19:33:25,51138-049,Flipstorm,Greece,Athens,528.49€,2016-01-04 19:33:25,528.49,58
2016-01-04 20:34:13,58118-5060,Twitterbeat,France,Annecy,145.64€,2016-01-04 20:34:13,145.64,59
2016-01-04 21:36:57,21695-267,Ntags,Portugal,Lisbon,361.54€,2016-01-04 21:36:57,361.54,60
2016-01-04 22:48:41,51531-9500,Chatterbridge,Spain,Barcelona,995.1€,2016-01-04 22:48:41,995.1,61
2016-01-04 22:55:51,50563-113,Gabcube,Spain,Almada,671.22€,2016-01-04 22:55:51,671.22,62
2016-01-05 00:45:50,49288-0655,Gabcube,Spain,Almada,316.01€,2016-01-05 00:45:50,316.01,63
2016-01-05 02:14:55,68084-172,Ntags,Portugal,Lisbon,564.39€,2016-01-05 02:14:55,564.39,64
2016-01-05 02:33:00,68180-121,Ntags,Portugal,Lisbon,1028.04€,2016-01-05 02:33:00,1028.04,65
2016-01-05 04:45:51,16714-295,Shufflebeat,Portugal,Porto,895.28€,2016-01-05 04:45:51,895.28,66
2016-01-05 05:24:36,37205-992,Buzzbean,Germany,Düsseldorf,481.74€,2016-01-05 05:24:36,481.74,67
2016-01-05 06:45:46,61398-0828,Flipstorm,Greece,Athens,279.76€,2016-01-05 06:45:46,279.76,68
2016-01-05 07:40:58,37205-951,Flipstorm,France,Nanterre,303.47€,2016-01-05 07:40:58,303.47,69
2016-01-05 09:32:18,10267-2529,Roodel,Portugal,Aranhas,460.71€,2016-01-05 09:32:18,460.71,70
2016-01-05 11:35:55,24385-268,Flipstorm,Greece,Athens,223.75€,2016-01-05 11:35:55,223.75,71
2016-01-05 12:21:25,54868-5165,Flipstorm,France,Nanterre,-217.88€,2016-01-05 12:21:25,217.88,72
2016-01-05 15:43:41,49348-574,Ntags,Portugal,Lisbon,368.4€,2016-01-05 15:43:41,368.4,73
2016-01-05 16:01:18,76335-006,Chatterbridge,Spain,Barcelona,395.91€,2016-01-05 16:01:18,395.91,74
2016-01-05 16:33:49,51346-145,Flipstorm,Greece,Athens,977.69€,2016-01-05 16:33:49,977.69,75
2016-01-05 17:11:29,36987-1697,Chatterbridge,Spain,Barcelona,822.97€,2016-01-05 17:11:29,822.97,76
2016-01-05 19:17:42,68233-011,Voomm,France,Paris,549.77€,2016-01-05 19:17:42,549.77,77
2016-01-05 19:28:34,65044-3014,Thoughtmix,Portugal,Amadora,924.25€,2016-01-05 19:28:34,924.25,78
2016-01-05 19:35:12,10267-2529,Brainsphere,Portugal,Braga,528.52€,2016-01-05 19:35:12,528.52,79
2016-01-05 20:00:10,50563-113,Twitterbeat,France,Annecy,516.92€,2016-01-05 20:00:10,516.92,80
